protocol_id,baseline,candidate_id,scenario,reliability,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,positive_supported,supported
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,15,999,estimated,240,0.001,0.01967666427245037,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,16,999,estimated,240,0.001,0.0169860953281972,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,17,999,estimated,240,0.001,0.023773224472368945,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,18,999,estimated,240,0.883,-0.0007039880809222524,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.35,19,999,estimated,240,0.001,0.02267491989903077,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,0,999,estimated,240,0.001,0.020687208985453374,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,1,999,estimated,240,0.002,0.015776773017266845,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,2,999,estimated,240,0.001,0.02845395487343375,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,3,999,estimated,240,0.006,0.014622079978352746,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,4,999,estimated,240,0.201,0.006093089614206996,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,5,999,estimated,240,0.001,0.01718595607056848,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,6,999,estimated,240,0.001,0.018922004010368986,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,7,999,estimated,240,0.001,0.01834835788219049,True,True
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,interaction_increment,0.3,0.5,8,999,estimated,240,0.003,0.012735938620473182,False,False
